alt,altTemp(),getSAT()
431.993431501789,284.640350341797,302.607220859868
434.359350713203,284.621124267578,302.587274635958
436.732895212946,284.601837158203,302.567261273544
439.114067646558,284.582489013672,302.547180737163
441.502860414214,284.563079833984,302.527032994429
443.899274881114,284.543640136719,302.506848527708
446.303304119268,284.524108886719,302.486566269142
448.714949517976,284.504516601563,302.466216700952
451.134203375666,284.48486328125,302.445799790569
453.561067852308,284.465148925781,302.425315502256
455.995535145281,284.445373535156,302.403905120031
458.43760756799,284.425537109375,302.383286012074
460.887276416412,284.405609130859,302.362568907893
463.344545069966,284.385650634766,302.341814806247
465.809404767002,284.365631103516,302.320993157019
468.28185809718,284.345550537109,302.300103923928
470.761897143791,284.325408935547,302.279147074063
473.249523724895,284.305206298828,302.258122571264
475.744730741018,284.284942626953,302.23703038225
478.247520527919,284.264587402344,302.215839952979
480.757883339538,284.244201660156,302.194612286112
483.275823538424,284.223754882813,302.173316826801
485.801332346629,284.203247070313,302.151953542131
488.334412207943,284.182647705078,302.130491877767
490.875055431854,284.162017822266,302.108992835492
493.423264105339,284.141326904297,302.087425860963
495.979030137416,284.120544433594,302.065760403275
498.542356572929,284.099731445313,302.044057460364
501.113234606455,284.078857421875,302.022286481483
503.691667547566,284.057891845703,302.000416911614
506.277646234026,284.036895751953,301.978509752785
508.871174463071,284.015838623047,301.95653444968
511.472243138705,283.994689941406,301.934460451486
514.080855832319,283.973510742188,301.912348755575
516.697003568173,283.952270507813,301.890168811009
519.320689595421,283.930938720703,301.867890062418
521.951905308291,283.909576416016,301.845573511386
524.590653895284,283.888122558594,301.823158084864
527.236926860176,283.866638183594,301.800704784316
529.890727222897,283.845092773438,301.778183054214
532.552045939374,283.823455810547,301.755562343412
535.220887556672,283.801788330078,301.732903648431
537.897241824307,283.780029296875,301.710145900921
540.581112630665,283.758239746094,301.687350097531
543.272492220975,283.736389160156,301.664485686481
545.971383239259,283.714447021484,301.641522112034
548.677776351105,283.692474365234,301.618520375667
551.391675709165,283.67041015625,301.595419403383
554.113072084612,283.648315429688,301.57228019655
556.841969127883,283.626159667969,301.549072198826
559.578358686063,283.603912353516,301.525764858358
562.322243190254,283.581634521484,301.502419171899
565.073614817928,283.559265136719,301.478974069823
567.832476381678,283.536865234375,301.455490548623
570.598819182022,283.514404296875,301.43193805653
573.372646743781,283.491851806641,301.408286036915
576.153950495296,283.469268798828,301.384595490628
578.942733733682,283.446624755859,301.360835861023
581.738987874123,283.423889160156,301.336976596157
584.542716642842,283.401123046875,301.313078691841
587.353911041515,283.378295898438,301.289111596236
590.172574710567,283.355407714844,301.264219551436
592.998698528041,283.332427978516,301.240083497828
595.83228677907,283.309417724609,301.215908657437
598.673329674522,283.286346435547,301.19166447864
601.521831345744,283.263214111328,301.167350921615
604.377783859149,283.240020751953,301.142967951492
607.24118952651,283.216735839844,301.118485011526
610.112040014355,283.193420410156,301.093963102115
612.990339234821,283.170043945313,301.069371665748
615.876078048139,283.146606445313,301.044710667954
618.769260589965,283.123107910156,301.019980068605
621.669877515524,283.099548339844,300.995179833268
624.577932862914,283.075927734375,300.97030992176
627.493417286081,283.05224609375,300.945370299602
630.4163349421,283.028503417969,300.920360926467
633.34667737782,283.004699707031,300.89528176744
636.284447646001,282.980834960938,300.87013278258
639.229636842967,282.956909179688,300.844913937125
642.182249644422,282.932922363281,300.81962519033
645.142276662868,282.908874511719,300.794266507603
648.109721328481,282.884765625,300.768837848658
651.084575194283,282.860595703125,300.743339178446
654.066842279979,282.836395263672,300.717800973907
657.056513749296,282.812103271484,300.692162164968
660.053592561511,282.787750244141,300.666453228959
